dataset,method,seed,head,m,documents,kernel_nmse,output_nmse,negative_kernel_fraction,nonpositive_denominator_fraction,invalid_output_rows,row_l1,denominator_nmse,near_cancellation_fraction
official,sderf,1083,"[14, 6]",64,20,1.0085027666652804,3.284959534554315,0.0,0.0,0,1.5690087825422474,1.011567272281696,0.0
official,sderf,1083,"[27, 0]",64,20,147.53250698427496,0.7666251664679553,0.0,0.0,0,1.4461810952713072,75.4895453436825,0.0
official,sderf,1083,"[27, 6]",64,20,1.2722702000300066,1.5429112125885303,0.0,0.0,0,1.5015669231470332,1.0125508100860603,0.0
official,sderf,1120,"[14, 0]",64,20,1.021750165860934,8.146121179119081,0.0,0.0,0,1.379871328278392,1.0107876843628676,0.0
official,sderf,1120,"[14, 6]",64,20,1.1623779539676313,2.7187391432910313,0.0,0.0,0,1.3341302617981703,1.1265952256116936,0.0
official,sderf,1120,"[27, 0]",64,20,2.546673830863285,0.9895943805492439,0.0,0.0,0,1.4576854858443382,1.1447524991336608,0.0
official,sderf,1120,"[27, 6]",64,20,65.18974111256023,2.8525942251365968,0.0,0.0,0,1.5504538821176692,3.5017096512711086,0.0
official,sderf,1157,"[14, 0]",64,20,1.071049664741713,5.077241544943179,0.0,0.0,0,0.9346447427174125,1.038905627460755,0.0
official,sderf,1157,"[14, 6]",64,20,1.001999935461459,2.561268022535326,0.0,0.0,0,1.2643029396120762,0.9985694136697317,0.0
official,sderf,1157,"[27, 0]",64,20,4.51772456865085,0.7381948171609132,0.0,0.0,0,1.5105280839242323,1.2759128341296408,0.0
official,sderf,1157,"[27, 6]",64,20,14961.590878619045,2.077880084472198,0.0,0.0,0,1.5239062561770798,1028.8408181386674,0.0
official,aderf,1009,"[14, 0]",64,20,12798.9353897037,1.4412856692507912,0.0,0.0,0,0.33687469049260765,6851.835877455983,0.0
official,aderf,1009,"[14, 6]",64,20,1.082596854291479,1.3938336232906385,0.0,0.0,0,0.9516683315352896,1.1104201773413602,0.0
official,aderf,1009,"[27, 0]",64,20,1.1128955760295745,0.6361534647760673,0.0,0.0,0,1.3955587753062302,1.0320816115020344,0.0
official,aderf,1009,"[27, 6]",64,20,13.030711107092008,2.8279153890110154,0.0,0.0,0,1.541225664367549,4.33761528278324,0.0
official,aderf,1046,"[14, 0]",64,20,27985.00776958972,1.729177556639575,0.0,0.0,0,0.422863586833561,14930.09322722986,0.0
official,aderf,1046,"[14, 6]",64,20,1.0047418657946405,1.5500210494062623,0.0,0.0,0,1.0393147797749136,1.0049623085124715,0.0
official,aderf,1046,"[27, 0]",64,20,1.0327869946422124,0.7593886194331876,0.0,0.0,0,1.5038877985786667,1.0033074457379905,0.0
official,aderf,1046,"[27, 6]",64,20,1.3781253016966113,2.1724049804145884,0.0,0.0,0,1.555856620143302,1.0352269093510986,0.0
official,aderf,1083,"[14, 0]",64,20,1.272243224908109,3.5250499139203018,0.0,0.0,0,0.8129515728859769,1.5377314088494267,0.0
official,aderf,1083,"[14, 6]",64,20,1.0013217030128228,1.1749298964555293,0.0,0.0,0,0.8628099590787617,1.0009625030408855,0.0
official,aderf,1083,"[27, 0]",64,20,1.0040125992570812,0.6956435474508985,0.0,0.0,0,1.4348558808931968,1.002015888641132,0.0
official,aderf,1083,"[27, 6]",64,20,1.0263149070873636,1.5903668340420878,0.0,0.0,0,1.529741171755982,1.0027955631394831,0.0
official,aderf,1120,"[14, 0]",64,20,27.084610255854123,2.0002782669356756,0.0,0.0,0,0.4913686969256922,16.03728869356212,0.0
official,aderf,1120,"[14, 6]",64,20,8.515172291120644,1.0828073681511161,0.0,0.0,0,0.7704072733769135,5.5995615750647385,0.0
official,aderf,1120,"[27, 0]",64,20,1.2526087846345368,0.6848878122676555,0.0,0.0,0,1.4245548596434066,1.0576306287103758,0.0
official,aderf,1120,"[27, 6]",64,20,1.0011794562638532,2.153313341104593,0.0,0.0,0,1.5790497333838844,1.000120765477605,0.0
official,aderf,1157,"[14, 0]",64,20,565.0556340753764,3.3797996771889958,0.0,0.0,0,0.7786979373135325,544.3781292272782,0.0
official,aderf,1157,"[14, 6]",64,20,1.0283670388998516,1.7919384261979594,0.0,0.0,0,1.1640530541674987,1.0635626207898325,0.0
official,aderf,1157,"[27, 0]",64,20,1.2696290159308516,1.2021419455864384,0.0,0.0,0,1.5187757233524022,1.023034248335367,0.0
official,aderf,1157,"[27, 6]",64,20,1.0265891981960473,2.841871434927445,0.0,0.0,0,1.5574911196666401,1.0027809004430104,0.0
official,partition,,"[14, 0]",64,20,0.666381235823279,0.8347791759217918,0.0,0.0,0,0.2363144302588786,0.6014448746666171,0.0
official,partition,,"[14, 6]",64,20,0.996999930091816,0.42613931695524043,0.0,0.0,0,0.5529123351806776,0.9817569331080779,0.0
official,partition,,"[27, 0]",64,20,0.8650261547203175,0.3006650704819214,0.0,0.0,0,1.0257410344140792,0.26924815205906133,0.0
official,partition,,"[27, 6]",64,20,0.7583850217940517,0.4451049763363969,0.0,0.0,0,0.9666593201630548,0.3952420911971554,0.0
