dataset,head,method,m,realizations,mean,median,minimum,maximum,std
official,"[14, 0]",centered_favor_plus,32,5,1.2417507974561846,1.1329850235909176,0.9939648172589067,1.5128222690854212,0.24552099627312987
official,"[14, 0]",centered_favor_plus,64,5,2.270719754889925,1.1221955283978415,0.9964113372284333,6.8888005963259085,2.585088183194722
official,"[14, 0]",centered_favor_plus,128,5,2.1274381134359714,1.1741613567983353,1.0467150477866316,4.879358585258796,1.6524136806915513
official,"[14, 0]",centered_favor_plus,640,1,1.1594201244346758,1.1594201244346758,1.1594201244346758,1.1594201244346758,
official,"[14, 0]",sderf,16,5,54.48631542346717,1.0800977112336438,1.000000580935001,252.35007255206827,110.82507176523856
official,"[14, 0]",sderf,32,5,99.43179209838885,5.002716108357657,1.018870437775809,426.2129807212998,184.59123726425574
official,"[14, 0]",sderf,64,5,25.60407668725333,2.0181982179491054,1.0079799260954776,107.1153036612497,46.041468891141434
official,"[14, 0]",sderf,128,5,14.32703370042371,5.1292187310792805,1.063912738527695,47.555961612157596,19.62662018334908
official,"[14, 0]",sderf,640,1,3.5644989302675,3.5644989302675,3.5644989302675,3.5644989302675,
official,"[14, 0]",aderf,16,5,1.117818390862551,1.0819631967965093,1.0024802037453182,1.3031564510700633,0.12581124910460703
official,"[14, 0]",aderf,32,5,39235.50631327399,7.3937408179448765,1.222348017810618,191073.10105336734,84908.32941095062
official,"[14, 0]",aderf,64,5,14185.729434133533,1272.8342574232774,1.2399233185075722,47764.61824631501,20940.88779946676
official,"[14, 0]",aderf,128,5,3547.7854102720803,325.075291602857,1.4004483469682143,11939.793796539021,5233.225184631457
official,"[14, 0]",aderf,640,1,709.1983116347352,709.1983116347352,709.1983116347352,709.1983116347352,
official,"[14, 0]",partition,16,1,0.3352531492315558,0.3352531492315558,0.3352531492315558,0.3352531492315558,
official,"[14, 0]",partition,32,1,0.26483074234610715,0.26483074234610715,0.26483074234610715,0.26483074234610715,
official,"[14, 0]",partition,64,1,0.2541343343327886,0.2541343343327886,0.2541343343327886,0.2541343343327886,
official,"[14, 0]",partition,128,1,0.2512681949371369,0.2512681949371369,0.2512681949371369,0.2512681949371369,
official,"[14, 0]",galerkin,16,1,0.22040622200832688,0.22040622200832688,0.22040622200832688,0.22040622200832688,
official,"[14, 0]",galerkin,32,1,0.21895665482177445,0.21895665482177445,0.21895665482177445,0.21895665482177445,
official,"[14, 0]",galerkin,64,1,0.21968256317139537,0.21968256317139537,0.21968256317139537,0.21968256317139537,
official,"[14, 0]",galerkin,128,1,0.21968807177811236,0.21968807177811236,0.21968807177811236,0.21968807177811236,
official,"[14, 6]",favor_plus,16,5,1.041847083352733,1.003874662590533,0.9998542805781748,1.1917325105444934,0.08397376633158776
official,"[14, 6]",favor_plus,32,5,1.011091031116155,1.0029304464868611,0.9999106626949585,1.047085904622877,0.020255109851790333
official,"[14, 6]",favor_plus,64,5,65.74651485044569,1.0013747668533446,1.0005072807350626,324.31446031194236,144.54398694153187
official,"[14, 6]",favor_plus,128,5,29.924154478621016,1.104226821363045,0.999956406867718,81.82429002376524,40.01936784511683
official,"[14, 6]",favor_plus,640,1,6.782750470745786,6.782750470745786,6.782750470745786,6.782750470745786,
official,"[14, 6]",centered_favor_plus,16,5,3.3988035797829013,1.075109212105278,1.0005986444734047,12.809723181775015,5.261014902282474
official,"[14, 6]",centered_favor_plus,32,5,4.060896198636508,1.1712023626405266,1.0233176949917686,13.127977947903817,5.219976607562658
official,"[14, 6]",centered_favor_plus,64,5,8.339407888371877,1.7380558163622215,1.0098331960498912,28.890628020184835,11.947697102527735
official,"[14, 6]",centered_favor_plus,128,5,49.53952518793601,8.580486534282382,1.270153984348019,208.07789501074308,88.93701629124423
official,"[14, 6]",centered_favor_plus,640,1,10.691167017035982,10.691167017035982,10.691167017035982,10.691167017035982,
official,"[14, 6]",sderf,16,5,3.447240784279138,2.2752893681279436,1.0056108731406073,7.510655007255136,2.7043771848057467
official,"[14, 6]",sderf,32,5,4.027462198085084,4.330194571170052,1.0689865096529447,6.171998861186947,2.102334244750867
