dataset,factor2,head,head_index,idiv_per_mass,logcosh,m,method,output_nmse,row_l1,seed_count,seed_max,seed_mean,seed_median,seed_min,source
internal,0.04963334401448568,L14H6,1,4.681974800599817,4.016384467076096,64,beta15_untied,,,3,1473.560948913325,1110.5679348279766,1353.30733861612,504.8355169544846,product
internal,0.11397711435953777,L27H0,2,2.367913754112973,1.8446773715792066,64,beta15_untied,,,3,8.306076631448304,3.595019203620948,1.3846733805109026,1.094307598903636,product
internal,0.09827613830566406,L27H6,3,2.5834347547573384,2.053645413542016,64,beta15_untied,,,3,87.93282179490592,31.441358924995182,4.289257379904313,2.101997600175312,product
internal,0.00016574859619140626,L14H0,0,16.949977690680477,17.725408216127374,64,favor_orf,,,10,0.999998748786392,0.9999486680740668,0.9999773679721848,0.9997770886811269,product
internal,0.0014082908630371094,L14H6,1,14.105241562817193,14.826659189130066,64,favor_orf,,,10,4.222817259425967,1.3516759968834284,0.9996990545211102,0.9909097282472236,product
internal,0.0012628555297851563,L27H0,2,14.827061035171713,10.953642977008519,64,favor_orf,,,10,1.0569761575268461,1.005695579504506,0.9999986213611809,0.9999886837534917,product
internal,0.002387523651123047,L27H6,3,14.90321271925614,11.322306377592897,64,favor_orf,,,10,41.704967635161275,5.071862998948151,1.000001060990847,0.9999911438856736,product
internal,0.09574667612711589,L14H0,0,10.429481901870767,3.1916545423345397,64,learned_shared,,,3,129074.94240659183,43393.289206816255,831.4449399864727,273.4802738704677,product
internal,0.0785992940266927,L14H6,1,4.919998795503745,3.2833589946998942,64,learned_shared,,,3,8523.49578337894,4536.215360760555,4092.4891505138235,992.6611483889044,product
internal,0.2099297841389974,L27H0,2,1.9087921806998611,1.318234436156034,64,learned_shared,,,3,25.123111332274288,11.7362491782458,7.176967886165534,2.9086683162975806,product
internal,0.1901699701944987,L27H6,3,2.244227535259062,1.4657372041972991,64,learned_shared,,,3,370.1895223077576,139.80698948475015,36.08798460222589,13.143461544266914,product
internal,0.10016886393229167,L14H0,0,9.964826162265636,3.12161442150896,64,learned_untied,,,3,107286.59927314307,36452.925315399036,1383.592220938775,688.584452115243,product
internal,0.07970937093098958,L14H6,1,5.345501927584427,3.260599969149423,64,learned_untied,,,3,37618.27187040763,14721.8820678204,3364.157257534489,3183.217075519079,product
internal,0.20362281799316406,L27H0,2,1.8878785492241008,1.298613917572492,64,learned_untied,,,3,21.16595133365143,9.654874962343383,4.218781086108711,3.579892467270006,product
internal,0.1859890619913737,L27H6,3,2.2942219253327902,1.4278122608991033,64,learned_untied,,,3,449.0951683577296,172.36511843835737,39.33798414764217,28.662202809700254,product
internal,0.003735065460205078,L14H0,0,9.57853417382566,12.624093347322432,64,sderf_orf,,,10,1650.6963465163249,172.82298499391248,1.3248258035710796,0.9946865935911708,product
internal,0.0026635169982910157,L14H6,1,13.92917154644887,13.283606838069108,64,sderf_orf,,,10,7.053864725290737,1.8760019447964187,1.0543006566823219,1.003546819161328,product
internal,0.04479856491088867,L27H0,2,6.105675847587987,4.3479312301863935,64,sderf_orf,,,10,133.90994103679407,32.104047647883384,7.00696393273442,2.55141070259765,product
internal,0.0388371467590332,L27H6,3,5.813596582132324,4.724690268707264,64,sderf_orf,,,10,381.2201480989946,85.11310784062884,32.82579238896752,3.1524647437600715,product
internal,,L14H0,0,,,128,SVD,,,1,1.3668515681648884e-06,1.3668515681648884e-06,1.3668515681648884e-06,1.3668515681648884e-06,product
internal,,L14H6,1,,,128,SVD,,,1,5.6028148694258186e-05,5.6028148694258186e-05,5.6028148694258186e-05,5.6028148694258186e-05,product
internal,,L27H0,2,,,128,SVD,,,1,6.0517998418665286e-05,6.0517998418665286e-05,6.0517998418665286e-05,6.0517998418665286e-05,product
internal,,L27H6,3,,,128,SVD,,,1,0.00033222340286271436,0.00033222340286271436,0.00033222340286271436,0.00033222340286271436,product
internal,,L14H0,0,,,128,NMF,,,1,2.206802899358607e-06,2.206802899358607e-06,2.206802899358607e-06,2.206802899358607e-06,product
internal,,L14H6,1,,,128,NMF,,,1,8.661900115347596e-05,8.661900115347596e-05,8.661900115347596e-05,8.661900115347596e-05,product
internal,,L27H0,2,,,128,NMF,,,1,0.00018138905696561653,0.00018138905696561653,0.00018138905696561653,0.00018138905696561653,product
internal,,L27H6,3,,,128,NMF,,,1,0.0008933261960122757,0.0008933261960122757,0.0008933261960122757,0.0008933261960122757,product
internal,0.020850181579589844,L14H0,0,6.707576338776663,5.377785973561008,128,aderf_orf,,,10,186.13611971381297,42.6611698174233,7.505752698856773,1.0128930977212547,product
internal,0.031081485748291015,L14H6,1,5.025106729958086,4.47786632233584,128,aderf_orf,,,10,260.0038147794315,39.41153758300776,4.767990002564031,1.6686243238391896,product
internal,0.0692671775817871,L27H0,2,8.007580460632024,2.8808693898128945,128,aderf_orf,,,10,14.727689553628448,4.081560445888762,1.191301386424108,1.0478327239443894,product
internal,0.018576622009277344,L27H6,3,10.412994238629306,5.336689900112029,128,aderf_orf,,,10,5093.057915326733,657.1220629892789,1.006718148886622,0.9999715707010058,product
internal,0.026282024383544923,L14H0,0,6.542102574210273,4.6395011201557335,128,balanced_orf,,,10,3.2541805779154567,1.4608756919806916,1.10878101379026,0.9889979934738756,product
internal,0.038948345184326175,L14H6,1,4.901010893593368,3.875999502785958,128,balanced_orf,,,10,64.0871646757616,9.74239461089579,1.5339286271837564,1.0288682136953893,product
internal,0.18482179641723634,L27H0,2,2.7126578808442643,1.3499838921642433,128,balanced_orf,,,10,573.4237323826477,68.605137988542,6.443865468221708,1.2237551614194402,product
internal,0.17280130386352538,L27H6,3,2.4705570765018594,1.4413805058833833,128,balanced_orf,,,10,133.25521846032206,24.86349215103159,12.299720273522396,3.5853783450704904,product
internal,0.03215646743774414,L14H0,0,7.106311240640406,4.6403081454029245,128,balanced_sderf_orf,,,10,342.7848570869196,42.265499237825814,1.3183724142391413,1.017331761524297,product
internal,0.04902572631835937,L14H6,1,8.014690980486014,3.717256556540265,128,balanced_sderf_orf,,,10,2749975.166173163,275040.41034396115,17.181078882126165,3.959722867822398,product
internal,0.20723428726196289,L27H0,2,2.215935679123909,1.2180183227649064,128,balanced_sderf_orf,,,10,206.60643423367065,33.76332140488783,4.325165284094862,1.5275342011985191,product
internal,0.1998427391052246,L27H6,3,2.2555825443885515,1.2744048971409838,128,balanced_sderf_orf,,,10,510.79136328882544,139.20288721393342,82.1455729913849,4.193674463240031,product
internal,0.031262683868408206,L14H0,0,7.351924593551206,4.643445342291924,128,balanced_sderf_sobol,,,10,1762.5672952650616,193.4988959702124,4.956161014717825,1.0085810463005855,product
internal,0.0500640869140625,L14H6,1,6.015793269402956,3.646672548645906,128,balanced_sderf_sobol,,,10,46220.25983376545,4669.995292150122,21.186170989020866,1.4927016596335663,product
internal,0.1966522216796875,L27H0,2,2.577710396608291,1.224652039424407,128,balanced_sderf_sobol,,,10,5110.348567181304,523.3886283620199,9.529594126028506,3.484469182483531,product
internal,0.19712038040161134,L27H6,3,2.2034663416361386,1.2683264008405615,128,balanced_sderf_sobol,,,10,1481.0894545611145,197.62199853654542,20.405253328155048,5.374973526512866,product
internal,0.14578847885131835,L14H0,0,8.06291883204893,2.3286524846325833,128,balanced_sderf_sobol_mass,,,10,55751.439474595434,10877.324421083918,2362.0333516260043,28.04330373489367,product
internal,0.12599802017211914,L14H6,1,5.165371654988324,2.4699286496105968,128,balanced_sderf_sobol_mass,,,10,10331.11947588742,2183.5011519591485,504.2260368701761,60.08138053866252,product
internal,0.22284040451049805,L27H0,2,2.7137782377320976,1.1547635849431468,128,balanced_sderf_sobol_mass,,,10,8499.529135619749,867.6814457954848,11.561652539740104,2.936831473600873,product
