dataset,samples_per_marginal,pairs_per_head,head,m,signed_floor_lower,signed_floor_upper,compression_residual_fraction,positive_nmse,partition_projection_nmse,mean_estimation_gap,positive_idiv_per_mass,train_galerkin_signed_nmse,train_anchor_nystrom_signed_nmse,log_raw_second_moment
disjoint_ab,16384,268435456,L14H0,128,6.385252320674158e-06,0.16811614576997014,0.16810976051764948,0.2016440553405037,0.18537518930787777,0.01626886603262604,0.2485310579323586,0.179703225181628,8.422726263829732,0.14551835646808797
disjoint_ab,16384,268435456,L14H6,16,0.014494800264252938,0.19142541055746504,0.1769306102932121,0.2338608697829373,0.23369577058037355,0.00016509920256372213,0.980861260298459,0.22302997058524243,0.22838891315691595,-2.1670472871414788
disjoint_ab,16384,268435456,L14H6,32,0.006388481534236637,0.1833190918274486,0.17693061029321197,0.23209877497433015,0.23161345752550372,0.00048531744882636955,0.9144550093007487,0.22607419263851822,0.2670916739002116,-2.1670472871414788
disjoint_ab,16384,268435456,L14H6,64,0.0019113418032892582,0.1788419520965014,0.17693061029321214,0.23121361757570497,0.22989434248431975,0.0013192750913854198,0.8262136060314645,0.22945823368447077,0.29482109618889446,-2.1670472871414788
disjoint_ab,16384,268435456,L14H6,128,0.00026093467384005753,0.17719154496705214,0.17693061029321208,0.2305009548027683,0.22821229320068048,0.002288661602088192,0.749319888720503,0.23295240578385765,0.36867578409396773,-2.1670472871414788
disjoint_ab,16384,268435456,L27H0,16,0.06621435053995205,0.3098050406246552,0.24359069008470313,0.6813955718539028,0.6611322376355324,0.020263334218370083,1.0974945103393547,0.4009886312552356,0.529326873856125,11.914335556143572
disjoint_ab,16384,268435456,L27H0,32,0.030701182517889225,0.27429187260259247,0.24359069008470324,0.6689641993272815,0.6460748135336123,0.022889385793669108,0.9931808130864436,0.3775733748186095,0.5237503268021216,11.914335556143572
disjoint_ab,16384,268435456,L27H0,64,0.010166615182591635,0.2537573052672949,0.24359069008470327,0.6599725526119783,0.6326495826848209,0.027322969927157353,0.8825898902283652,0.3699105047208468,0.6603716848623025,11.914335556143572
disjoint_ab,16384,268435456,L27H0,128,0.0014838764464056129,0.2450745665311088,0.2435906900847032,0.6525179865920642,0.6216437435148682,0.03087424307719611,0.8072386219420471,0.3710574770637269,0.8581814844698038,11.914335556143572
disjoint_ab,16384,268435456,L27H6,16,0.03159018422650407,0.16429479025164706,0.132704606025143,0.582617131540327,0.5657206263700165,0.016896505170310393,1.0043761972902618,0.23813184456618014,0.3240055123630815,17.285298561562968
disjoint_ab,16384,268435456,L27H6,32,0.012034952586807585,0.1447395586119505,0.13270460602514292,0.572085620394494,0.5511755983911082,0.02091002200338577,0.8367248377632408,0.21314102061273796,0.2901706029222675,17.285298561562968
disjoint_ab,16384,268435456,L27H6,64,0.0035316476523880804,0.13623625367753092,0.13270460602514283,0.5606692157640792,0.5381365825939681,0.022532633170111182,0.7787827989623464,0.19841064838836858,0.2799212731366014,17.285298561562968
disjoint_ab,16384,268435456,L27H6,128,0.0004918290246668665,0.13319643504980969,0.1327046060251428,0.5571699759017688,0.5311966933592671,0.02597328254250147,0.7063907127479063,0.19068106296968954,0.27457644383985136,17.285298561562968
disjoint_ab,65536,4294967296,L14H0,16,0.000820028667179028,0.12443518690710667,0.12361515823992764,0.21723306862937783,0.2157895806538982,0.0014434879754792373,0.4083411233470647,0.12943091748442312,0.14693204357314238,0.2033859951627388
