source,m,method,layer,head,relative_error,log_absolute_mse
product,16,FAVOR_plus,0,6,1.0,7821.488646390419
product,16,FAVOR_plus,0,9,1.0,243.6333135877305
product,16,FAVOR_plus,7,0,0.9949133576770466,-0.06337923192038097
product,16,FAVOR_plus,7,3,3.2671937847107575,-0.45860105673768814
product,16,FAVOR_plus,7,6,1.0,43.8442191155096
product,16,FAVOR_plus,7,9,1.0,24.014807422743672
product,16,FAVOR_plus,14,0,0.9998235899913819,0.28574034377569824
product,16,FAVOR_plus,14,3,0.9999999998668798,13.835194975209566
product,16,FAVOR_plus,14,6,1.0017752627299663,-2.086891744055956
product,16,FAVOR_plus,14,9,1.0337320722215584,-1.5052947470369986
product,16,FAVOR_plus,27,0,1.0003124937040975,11.11956948141132
product,16,FAVOR_plus,27,3,1.0000008216677458,11.636499914029768
product,16,FAVOR_plus,27,6,0.9999997881342593,16.60027748102481
product,16,FAVOR_plus,27,9,1.0002251533367335,11.976510685174619
product,16,centered_FAVOR_plus,0,0,0.9999999968957125,4191.436673922867
product,16,centered_FAVOR_plus,0,3,1.0,48516.048081540495
product,16,centered_FAVOR_plus,0,6,1.0,7821.488646390419
product,16,centered_FAVOR_plus,0,9,0.9999818696318888,243.63329545719805
product,16,centered_FAVOR_plus,7,0,2.9113889767124883,1.0103506702976688
product,16,centered_FAVOR_plus,7,3,1.8205729483475652,-1.0433812450632853
product,16,centered_FAVOR_plus,7,6,96.2983441454464,48.41167023941452
product,16,centered_FAVOR_plus,7,9,1.1417829248028872,24.147398432549366
product,16,centered_FAVOR_plus,14,0,1.3060120414360104,0.5528950202469556
product,16,centered_FAVOR_plus,14,3,1.000002418011801,13.835197393351566
product,16,centered_FAVOR_plus,14,6,2.6650017844719174,-1.1084607056564604
product,16,centered_FAVOR_plus,14,9,1.8466394944503501,-0.9251028739860363
product,16,centered_FAVOR_plus,27,0,10.728185552295134,13.49213147842825
product,16,centered_FAVOR_plus,27,3,154.44688976371717,16.67634937402802
product,16,centered_FAVOR_plus,27,6,43.02122454332064,20.361971280837395
product,16,centered_FAVOR_plus,27,9,137.77134117931203,16.901880920105746
product,32,SVD,0,0,4.991135707098117e-31,4121.664199523636
product,32,SVD,0,3,2.117285042580209e-31,48445.41807828535
product,32,SVD,0,6,4.9544276778296694e-142,7496.121844842405
product,32,SVD,0,9,3.7777868760284298e-31,173.5823140605526
product,32,SVD,7,0,0.0001360645731771598,-8.960660590732001
product,32,SVD,7,3,2.7039859090984003e-05,-12.160731021330445
product,32,SVD,7,6,1.0599574227155124e-06,30.086937297613062
product,32,SVD,7,9,6.137205031660522e-05,14.31625138972458
product,32,SVD,14,0,7.454214672978997e-05,-9.218229095279433
product,32,SVD,14,3,6.081113386573214e-07,-0.4777128736108427
product,32,SVD,14,6,0.001859619759460171,-8.376048675423036
product,32,SVD,14,9,3.204272698978707e-05,-11.886910699117449
product,32,SVD,27,0,0.010703048189751202,6.582030335985872
product,32,SVD,27,3,0.013275654908745197,7.314675713283448
product,32,SVD,27,6,0.004992945718700448,11.300548473887831
product,32,SVD,27,9,0.02140853353840069,8.132319884218406
product,32,NMF,0,0,6.363407689656648e-08,4174.866557216142
product,32,NMF,0,3,4.678475690836961e-13,48487.65744768136
product,32,NMF,0,6,2.300251157987141e-65,7672.653633661904
product,32,NMF,0,9,2.0530472524805485e-07,228.2345430908522
product,32,NMF,7,0,0.00016815674002225908,-8.748893645783783
product,32,NMF,7,3,2.948337116344489e-05,-12.074216646320941
product,32,NMF,7,6,3.114095968855919e-06,31.16464744899732
product,32,NMF,7,9,8.472863513312087e-05,14.638750486434683
product,32,NMF,14,0,7.646301311172261e-05,-9.192786653439411
product,32,NMF,14,3,7.221438600564491e-07,-0.3058464904032263
product,32,NMF,14,6,0.0019469104581233828,-8.330176976183557
product,32,NMF,14,9,3.7954381595736424e-05,-11.71759597549144
product,32,NMF,27,0,0.013874869394201423,6.841581004098741
product,32,NMF,27,3,0.01634242420248943,7.522508251813294
product,32,NMF,27,6,0.006206071387298562,11.518050482816994
product,32,NMF,27,9,0.02788989228942926,8.396794617852743
product,32,FAVOR_plus,0,0,1.0,4191.436673925971
product,32,FAVOR_plus,0,3,1.0,48516.048081540495
product,32,FAVOR_plus,0,6,1.0,7821.488646390419
product,32,FAVOR_plus,0,9,1.0,243.6333135877305
product,32,FAVOR_plus,7,0,0.9964012233229096,-0.061884876445923
product,32,FAVOR_plus,7,3,1.5515255817918228,-1.2032938101994617
product,32,FAVOR_plus,7,6,1.0,43.8442191155096
