loss,training_documents,budget_scale,method,seed,parameters,split,metric,layer,head,value
logcosh,4096,2,kan,11,147584,train,logcosh,27,0,0.378374259790759
logcosh,4096,2,kan,11,147584,train,logcosh,27,6,0.41149117498861254
logcosh,4096,2,kan,29,147584,train,logcosh,14,0,1.1649173510739674
logcosh,4096,2,kan,29,147584,train,logcosh,14,6,1.0985464292181775
logcosh,4096,2,kan,29,147584,train,logcosh,27,0,0.38594843139543517
logcosh,4096,2,kan,29,147584,train,logcosh,27,6,0.4050913813123097
logcosh,4096,2,kan,47,147584,train,logcosh,14,0,1.1722644082022196
logcosh,4096,2,kan,47,147584,train,logcosh,14,6,1.1174937844976478
logcosh,4096,2,kan,47,147584,train,logcosh,27,0,0.37524826436777636
logcosh,4096,2,kan,47,147584,train,logcosh,27,6,0.39626551833584067
logcosh,4096,2,kan,11,147584,train,log_mae,14,0,1.7023149902558048
logcosh,4096,2,kan,11,147584,train,log_mae,14,6,1.663766386261409
logcosh,4096,2,kan,11,147584,train,log_mae,27,0,0.7879376874978689
logcosh,4096,2,kan,11,147584,train,log_mae,27,6,0.8317131616349196
logcosh,4096,2,kan,29,147584,train,log_mae,14,0,1.706846747284307
logcosh,4096,2,kan,29,147584,train,log_mae,14,6,1.6338904367514018
logcosh,4096,2,kan,29,147584,train,log_mae,27,0,0.7982602246906625
logcosh,4096,2,kan,29,147584,train,log_mae,27,6,0.8231627202566465
logcosh,4096,2,kan,47,147584,train,log_mae,14,0,1.7148061871941325
logcosh,4096,2,kan,47,147584,train,log_mae,14,6,1.654986176276347
logcosh,4096,2,kan,47,147584,train,log_mae,27,0,0.7839460001746217
logcosh,4096,2,kan,47,147584,train,log_mae,27,6,0.8120502813158864
logcosh,4096,2,kan,11,147584,train,factor2,14,0,0.26688432693481445
logcosh,4096,2,kan,11,147584,train,factor2,14,6,0.27399253845214844
logcosh,4096,2,kan,11,147584,train,factor2,27,0,0.5467185974121094
logcosh,4096,2,kan,11,147584,train,factor2,27,6,0.5228786468505859
logcosh,4096,2,kan,29,147584,train,factor2,14,0,0.2670779228210449
logcosh,4096,2,kan,29,147584,train,factor2,14,6,0.27971982955932617
logcosh,4096,2,kan,29,147584,train,factor2,27,0,0.5403714179992676
logcosh,4096,2,kan,29,147584,train,factor2,27,6,0.5279269218444824
logcosh,4096,2,kan,47,147584,train,factor2,14,0,0.2656822204589844
logcosh,4096,2,kan,47,147584,train,factor2,14,6,0.2755270004272461
logcosh,4096,2,kan,47,147584,train,factor2,27,0,0.5489301681518555
logcosh,4096,2,kan,47,147584,train,factor2,27,6,0.5325956344604492
logcosh,4096,2,kan,11,147584,train,factor10,14,0,0.7311201095581055
logcosh,4096,2,kan,11,147584,train,factor10,14,6,0.7405786514282227
logcosh,4096,2,kan,11,147584,train,factor10,27,0,0.9648885726928711
logcosh,4096,2,kan,11,147584,train,factor10,27,6,0.9573421478271484
logcosh,4096,2,kan,29,147584,train,factor10,14,0,0.7301783561706543
logcosh,4096,2,kan,29,147584,train,factor10,14,6,0.7495822906494141
logcosh,4096,2,kan,29,147584,train,factor10,27,0,0.9633359909057617
logcosh,4096,2,kan,29,147584,train,factor10,27,6,0.958796501159668
logcosh,4096,2,kan,47,147584,train,factor10,14,0,0.7279229164123535
logcosh,4096,2,kan,47,147584,train,factor10,14,6,0.7426609992980957
logcosh,4096,2,kan,47,147584,train,factor10,27,0,0.965639591217041
logcosh,4096,2,kan,47,147584,train,factor10,27,6,0.9611411094665527
logcosh,4096,2,kan,11,147584,train,raw_nmse,14,0,0.9220478854540671
logcosh,4096,2,kan,11,147584,train,raw_nmse,14,6,0.9938369199693438
logcosh,4096,2,kan,11,147584,train,raw_nmse,27,0,0.9871872085898159
logcosh,4096,2,kan,11,147584,train,raw_nmse,27,6,0.9872138845192832
logcosh,4096,2,kan,29,147584,train,raw_nmse,14,0,0.9433326208168973
logcosh,4096,2,kan,29,147584,train,raw_nmse,14,6,0.9956548318169888
logcosh,4096,2,kan,29,147584,train,raw_nmse,27,0,0.9870373884820428
logcosh,4096,2,kan,29,147584,train,raw_nmse,27,6,0.9877790510514244
logcosh,4096,2,kan,47,147584,train,raw_nmse,14,0,0.9452797772362143
logcosh,4096,2,kan,47,147584,train,raw_nmse,14,6,0.9906735079487957
logcosh,4096,2,kan,47,147584,train,raw_nmse,27,0,0.9854865798041113
logcosh,4096,2,kan,47,147584,train,raw_nmse,27,6,0.9879126634592714
logcosh,4096,2,kan,11,147584,train,normalized_idiv,14,0,3.9552472862781816
logcosh,4096,2,kan,11,147584,train,normalized_idiv,14,6,4.833430124588577
logcosh,4096,2,kan,11,147584,train,normalized_idiv,27,0,1.7467203194831815
logcosh,4096,2,kan,11,147584,train,normalized_idiv,27,6,1.7612746401735886
logcosh,4096,2,kan,29,147584,train,normalized_idiv,14,0,4.099426780481094
logcosh,4096,2,kan,29,147584,train,normalized_idiv,14,6,5.035995057205204
logcosh,4096,2,kan,29,147584,train,normalized_idiv,27,0,1.7631165588732756
logcosh,4096,2,kan,29,147584,train,normalized_idiv,27,6,1.7740783949817458
logcosh,4096,2,kan,47,147584,train,normalized_idiv,14,0,4.183227568578498
logcosh,4096,2,kan,47,147584,train,normalized_idiv,14,6,4.678946548517803
logcosh,4096,2,kan,47,147584,train,normalized_idiv,27,0,1.725425483219279
logcosh,4096,2,kan,47,147584,train,normalized_idiv,27,6,1.8146584669467254
logcosh,4096,2,kan,11,147584,validation,logcosh,14,0,1.1666253657866525
logcosh,4096,2,kan,11,147584,validation,logcosh,14,6,1.1100052618036491
logcosh,4096,2,kan,11,147584,validation,logcosh,27,0,0.38429556351719524
logcosh,4096,2,kan,11,147584,validation,logcosh,27,6,0.41643515006357856
logcosh,4096,2,kan,29,147584,validation,logcosh,14,0,1.1686613373965515
logcosh,4096,2,kan,29,147584,validation,logcosh,14,6,1.0825301344056253
logcosh,4096,2,kan,29,147584,validation,logcosh,27,0,0.39387199034421916
logcosh,4096,2,kan,29,147584,validation,logcosh,27,6,0.4094506828718756
logcosh,4096,2,kan,47,147584,validation,logcosh,14,0,1.1758483813828002
logcosh,4096,2,kan,47,147584,validation,logcosh,14,6,1.1019410392371642
logcosh,4096,2,kan,47,147584,validation,logcosh,27,0,0.3814161143078991
logcosh,4096,2,kan,47,147584,validation,logcosh,27,6,0.40198344250940476
logcosh,4096,2,kan,11,147584,validation,log_mae,14,0,1.7100021041134141
logcosh,4096,2,kan,11,147584,validation,log_mae,14,6,1.6468260420950234
logcosh,4096,2,kan,11,147584,validation,log_mae,27,0,0.796075544533587
logcosh,4096,2,kan,11,147584,validation,log_mae,27,6,0.8384170789877818
logcosh,4096,2,kan,29,147584,validation,log_mae,14,0,1.7114636566576564
logcosh,4096,2,kan,29,147584,validation,log_mae,14,6,1.6161551448733977
